"","V1"
"m66_2","respondent's health checked after discharge/delivery at home"
"m66_3","respondent's health checked after discharge/delivery at home"
"m66_4","respondent's health checked after discharge/delivery at home"
"m66_5","respondent's health checked after discharge/delivery at home"
"m66_6","respondent's health checked after discharge/delivery at home"
"m67_1","how long after discharge/delivery at home respondent health check took place"
"m67_2","how long after discharge/delivery at home respondent health check took place"
"m67_3","how long after discharge/delivery at home respondent health check took place"
"m67_4","how long after discharge/delivery at home respondent health check took place"
"m67_5","how long after discharge/delivery at home respondent health check took place"
"m67_6","how long after discharge/delivery at home respondent health check took place"
"m68_1","who checked respondent health after discharge/delivery at home"
"m68_2","who checked respondent health after discharge/delivery at home"
"m68_3","who checked respondent health after discharge/delivery at home"
"m68_4","who checked respondent health after discharge/delivery at home"
"m68_5","who checked respondent health after discharge/delivery at home"
"m68_6","who checked respondent health after discharge/delivery at home"
"m69_1","where respondent check after discharge/delivery at home took place"
"m69_2","where respondent check after discharge/delivery at home took place"
"m69_3","where respondent check after discharge/delivery at home took place"
"m69_4","where respondent check after discharge/delivery at home took place"
"m69_5","where respondent check after discharge/delivery at home took place"
"m69_6","where respondent check after discharge/delivery at home took place"
"m70_1","baby postnatal check within 2 months"
"m70_2","baby postnatal check within 2 months"
"m70_3","baby postnatal check within 2 months"
"m70_4","baby postnatal check within 2 months"
"m70_5","baby postnatal check within 2 months"
"m70_6","baby postnatal check within 2 months"
"m71_1","time after delivery postnatal check took place"
"m71_2","time after delivery postnatal check took place"
"m71_3","time after delivery postnatal check took place"
"m71_4","time after delivery postnatal check took place"
"m71_5","time after delivery postnatal check took place"
"m71_6","time after delivery postnatal check took place"
"m72_1","person who performed postnatal checkup"
"m72_2","person who performed postnatal checkup"
"m72_3","person who performed postnatal checkup"
"m72_4","person who performed postnatal checkup"
"m72_5","person who performed postnatal checkup"
"m72_6","person who performed postnatal checkup"
"m73_1","place baby was first checked"
"m73_2","place baby was first checked"
"m73_3","place baby was first checked"
"m73_4","place baby was first checked"
"m73_5","place baby was first checked"
"m73_6","place baby was first checked"
"m74_1","child's health checked before discharge"
"m74_2","child's health checked before discharge"
"m74_3","child's health checked before discharge"
"m74_4","child's health checked before discharge"
"m74_5","child's health checked before discharge"
"m74_6","child's health checked before discharge"
"m75_1","how long before discharging child health check took place"
"m75_2","how long before discharging child health check took place"
"m75_3","how long before discharging child health check took place"
"m75_4","how long before discharging child health check took place"
"m75_5","how long before discharging child health check took place"
"m75_6","how long before discharging child health check took place"
"m76_1","who checked child health before discharge"
"m76_2","who checked child health before discharge"
"m76_3","who checked child health before discharge"
"m76_4","who checked child health before discharge"
"m76_5","who checked child health before discharge"
"m76_6","who checked child health before discharge"
"m77_1","was child put on mother's chest and bare skin after birth"
"m77_2","was child put on mother's chest and bare skin after birth"
"m77_3","was child put on mother's chest and bare skin after birth"
"m77_4","was child put on mother's chest and bare skin after birth"
"m77_5","was child put on mother's chest and bare skin after birth"
"m77_6","was child put on mother's chest and bare skin after birth"
"m77a_1","time after birth baby was put on bare skin in hours"
"m77a_2","time after birth baby was put on bare skin in hours"
"m77a_3","time after birth baby was put on bare skin in hours"
"m77a_4","time after birth baby was put on bare skin in hours"
"m77a_5","time after birth baby was put on bare skin in hours"
"m77a_6","time after birth baby was put on bare skin in hours"
"m78a_1","during first 2 days health provider: examine cord"
"m78a_2","during first 2 days health provider: examine cord"
"m78a_3","during first 2 days health provider: examine cord"
"m78a_4","during first 2 days health provider: examine cord"
"m78a_5","during first 2 days health provider: examine cord"
"m78a_6","during first 2 days health provider: examine cord"
"m78b_1","during first 2 days health provider: measure temperature"
"m78b_2","during first 2 days health provider: measure temperature"
"m78b_3","during first 2 days health provider: measure temperature"
"m78b_4","during first 2 days health provider: measure temperature"
"m78b_5","during first 2 days health provider: measure temperature"
"m78b_6","during first 2 days health provider: measure temperature"
"m78c_1","during first 2 days health provider: signs baby needs medical attentions"
"m78c_2","during first 2 days health provider: signs baby needs medical attentions"
"m78c_3","during first 2 days health provider: signs baby needs medical attentions"
"m78c_4","during first 2 days health provider: signs baby needs medical attentions"
"m78c_5","during first 2 days health provider: signs baby needs medical attentions"
"m78c_6","during first 2 days health provider: signs baby needs medical attentions"
"m78d_1","during first 2 days health provider: counsel on breastfeeding"
"m78d_2","during first 2 days health provider: counsel on breastfeeding"
"m78d_3","during first 2 days health provider: counsel on breastfeeding"
"m78d_4","during first 2 days health provider: counsel on breastfeeding"
"m78d_5","during first 2 days health provider: counsel on breastfeeding"
"m78d_6","during first 2 days health provider: counsel on breastfeeding"
"m78e_1","during first 2 days health provider: observe breastfeeding"
"m78e_2","during first 2 days health provider: observe breastfeeding"
"m78e_3","during first 2 days health provider: observe breastfeeding"
"m78e_4","during first 2 days health provider: observe breastfeeding"
"m78e_5","during first 2 days health provider: observe breastfeeding"
"m78e_6","during first 2 days health provider: observe breastfeeding"
"m78f_1","during first 2 days health provider: measure blood pressure"
"m78f_2","during first 2 days health provider: measure blood pressure"
"m78f_3","during first 2 days health provider: measure blood pressure"
"m78f_4","during first 2 days health provider: measure blood pressure"
"m78f_5","during first 2 days health provider: measure blood pressure"
"m78f_6","during first 2 days health provider: measure blood pressure"
"m78g_1","during first 2 days health provider: discuss vaginal bleeding"
"m78g_2","during first 2 days health provider: discuss vaginal bleeding"
"m78g_3","during first 2 days health provider: discuss vaginal bleeding"
"m78g_4","during first 2 days health provider: discuss vaginal bleeding"
"m78g_5","during first 2 days health provider: discuss vaginal bleeding"
"m78g_6","during first 2 days health provider: discuss vaginal bleeding"
"m78h_1","during first 2 days health provider: discuss family planning"
"m78h_2","during first 2 days health provider: discuss family planning"
"m78h_3","during first 2 days health provider: discuss family planning"
"m78h_4","during first 2 days health provider: discuss family planning"
"m78h_5","during first 2 days health provider: discuss family planning"
"m78h_6","during first 2 days health provider: discuss family planning"
"m78i_1","during first 2 days health provider: help with breastfeeding"
"m78i_2","during first 2 days health provider: help with breastfeeding"
"m78i_3","during first 2 days health provider: help with breastfeeding"
"m78i_4","during first 2 days health provider: help with breastfeeding"
"m78i_5","during first 2 days health provider: help with breastfeeding"
"m78i_6","during first 2 days health provider: help with breastfeeding"
"m78j_1","na - during first 2 days health provider: ask if have problems with urination"
"m78j_2","na - during first 2 days health provider: ask if have problems with urination"
"m78j_3","na - during first 2 days health provider: ask if have problems with urination"
"m78j_4","na - during first 2 days health provider: ask if have problems with urination"
"m78j_5","na - during first 2 days health provider: ask if have problems with urination"
"m78j_6","na - during first 2 days health provider: ask if have problems with urination"
"m78k_1","na - during first 2 days health provider: ask if have pain"
"m78k_2","na - during first 2 days health provider: ask if have pain"
"m78k_3","na - during first 2 days health provider: ask if have pain"
"m78k_4","na - during first 2 days health provider: ask if have pain"
"m78k_5","na - during first 2 days health provider: ask if have pain"
"m78k_6","na - during first 2 days health provider: ask if have pain"
"m78l_1","na - during first 2 days health provider: ask if feel sad or depressed"
"m78l_2","na - during first 2 days health provider: ask if feel sad or depressed"
"m78l_3","na - during first 2 days health provider: ask if feel sad or depressed"
"m78l_4","na - during first 2 days health provider: ask if feel sad or depressed"
"m78l_5","na - during first 2 days health provider: ask if feel sad or depressed"
"m78l_6","na - during first 2 days health provider: ask if feel sad or depressed"
"m78m_1","during first 2 days health provider: place for help - cs"
"m78m_2","during first 2 days health provider: place for help - cs"
"m78m_3","during first 2 days health provider: place for help - cs"
"m78m_4","during first 2 days health provider: place for help - cs"
"m78m_5","during first 2 days health provider: place for help - cs"
"m78m_6","during first 2 days health provider: place for help - cs"
"m78n_1","during first 2 days health provider: own medical attention - cs"
"m78n_2","during first 2 days health provider: own medical attention - cs"
"m78n_3","during first 2 days health provider: own medical attention - cs"
"m78n_4","during first 2 days health provider: own medical attention - cs"
"m78n_5","during first 2 days health provider: own medical attention - cs"
"m78n_6","during first 2 days health provider: own medical attention - cs"
"m78o_1","during first 2 days health provider: mental health - cs"
"m78o_2","during first 2 days health provider: mental health - cs"
"m78o_3","during first 2 days health provider: mental health - cs"
"m78o_4","during first 2 days health provider: mental health - cs"
"m78o_5","during first 2 days health provider: mental health - cs"
"m78o_6","during first 2 days health provider: mental health - cs"
"m78p_1","during first 2 days health provider: food to eat - cs"
"m78p_2","during first 2 days health provider: food to eat - cs"
"m78p_3","during first 2 days health provider: food to eat - cs"
"m78p_4","during first 2 days health provider: food to eat - cs"
"m78p_5","during first 2 days health provider: food to eat - cs"
"m78p_6","during first 2 days health provider: food to eat - cs"
"m80_1","pregnancy outcome for this section"
"m80_2","pregnancy outcome for this section"
"m80_3","pregnancy outcome for this section"
"m80_4","pregnancy outcome for this section"
"m80_5","pregnancy outcome for this section"
"m80_6","pregnancy outcome for this section"
"m81a_1","place obtained iron tablets/syrup: government hospital"
"m81a_2","place obtained iron tablets/syrup: government hospital"
"m81a_3","place obtained iron tablets/syrup: government hospital"
"m81a_4","place obtained iron tablets/syrup: government hospital"
"m81a_5","place obtained iron tablets/syrup: government hospital"
"m81a_6","place obtained iron tablets/syrup: government hospital"
"m81b_1","place obtained iron tablets/syrup: phc/primary hospital"
"m81b_2","place obtained iron tablets/syrup: phc/primary hospital"
"m81b_3","place obtained iron tablets/syrup: phc/primary hospital"
"m81b_4","place obtained iron tablets/syrup: phc/primary hospital"
"m81b_5","place obtained iron tablets/syrup: phc/primary hospital"
"m81b_6","place obtained iron tablets/syrup: phc/primary hospital"
"m81c_1","place obtained iron tablets/syrup: health post"
"m81c_2","place obtained iron tablets/syrup: health post"
